Lethenteron camtschaticum
Petromyzon marinus
Eptatretus burgeri
Callorhinchus milii
Rhincodon typus
Chiloscyllium punctatum
Chiloscyllium plagiosum
Scyliorhinus torazame
Leucoraja erinacea
Latimeria chalumnae
Acipenser ruthenus
Lepisosteus oculatus
Anguilla anguilla
Anguilla rostrata
Anguilla japonica
Scleropages formosus
Arapaima gigas
Paramormyrops kingsleyae
Clupea harengus
Sardina pilchardus
Tenualosa ilisha
Danio rerio
Anabarilius grahami
Cyprinus carpio
Carassius auratus
Sinocyclocheilus rhinocerous
Sinocyclocheilus grahami
Sinocyclocheilus anshuiensis
Pimephales promelas
Leuciscus waleckii
Danionella dracula
Oxygymnocypris stewartii
Hypophthalmichthys nobilis
Labeo rohita
Poropuntius huangchuchieni
Cirrhinus molitorella
Pygocentrus nattereri
Astyanax mexicanus
Electrophorus electricus
Ictalurus punctatus
Tachysurus fulvidraco
Pangasianodon hypophthalmus
Ageneiosus marmoratus
Clarias batrachus
Esox lucius
Salmo salar
Oncorhynchus kisutch
Oncorhynchus mykiss
Oncorhynchus tshawytscha
Salvelinus alpinus
Hucho hucho
Borostomias antarcticus
Osmerus eperlanus
Guentherus altivela
Parasudis fraserbrunneri
Benthosema glaciale
Polymixia japonica
Percopsis transmontana
Typhlichthys subterraneus
Zeus faber
Cyttopsis rosea
Stylephorus chordatus
Pollachius virens
Merlangius merlangus
Gadus chalcogrammus
Gadus morhua
Melanogrammus aeglefinus
Trisopterus minutus
Gadiculus argenteus
Boreogadus saida
Arctogadus glacialis
Mora moro
Laemonema laureysi
Bregmaceros cantori
Merluccius polli
Merluccius merluccius
Merluccius capensis
Melanonus zugmayeri
Phycis blennoides
Phycis phycis
Lota lota
Molva molva
Brosme brosme
Coryphaenoides rupestris
Bathygadus melanobranchus
Trachyrincus scabrus
Trachyrincus murrayi
Macrourus berglax
Malacocephalus occidentalis
Muraenolepis marmoratus
Regalecus glesne
Lampris guttatus
Monocentris japonicus
Beryx splendens
Rondeletia loricata
Acanthochaenus luetkenii
Myripristis jacobus
Holocentrus rufus
Neoniphon sammara
Brotula barbata
Lamprogrammus exutus
Carapus acus
Chatrabus melanurus
Boleophthalmus pectinirostris
Lesueurigobius sanzi
Periophthalmus magnuspinnatus
Periophthalmodon schlosseri
Scartelaos histophorus
Thunnus orientalis
Thunnus thynnus
Thunnus albacares
Pampus argenteus
Hippocampus comes
Monopterus albus
Mastacembelus armatus
Anabas testudineus
Betta splendens
Helostoma temminkii
Lates calcarifer
Seriola quinqueradiata
Seriola dumerili
Seriola rivoliana
Seriola lalandi dorsalis
Selene dorsalis
Trachinotus ovatus
Cynoglossus semilaevis
Pseudopleuronectes yokohamae
Paralichthys olivaceus
Scophthalmus maximus
Parambassis ranga
Acanthochromis polyacanthus
Amphiprion ocellaris
Stegastes partitus
Chromis chromis
Pseudochromis fuscus
Amphiprion percula
Parablennius parvicornis
Gouania willdenowi
Mchenga conophoros
Labeotropheus fuelleborni
Melanochromis auratus
Rhamphochromis esox
Amphilophus citrinellus
Pundamilia nyererei
Neolamprologus brichardi
Haplochromis burtoni
Maylandia zebra
Simochromis diagramma
Oreochromis niloticus
Astatotilapia calliptera
Oryzias javanicus
Oryzias latipes
Oryzias melastigma
Poecilia formosa
Poecilia reticulata
Poecilia latipinna
Poecilia mexicana
Gambusia affinis
Xiphophorus hellerii
Xiphophorus couchianus
Xiphophorus maculatus
Cyprinodon variegatus
Cyprinodon nevadensis pectoralis
Fundulus heteroclitus
Nothobranchius kuhntae
Nothobranchius furzeri
Austrofundulus limnaeus
Kryptolebias marmoratus
Sebastes rubrivinctus
Sebastes aleutianus
Sebastes nigrocinctus
Sebastes minor
Sebastes schlegelii
Sebastes koreanus
Sebastes nudus
Sebastes norvegicus
Sebastes steindachneri
Anoplopoma fimbria
Gasterosteus aculeatus
Pungitius pungitius
Cottus rhenanus
Myoxocephalus scorpius
Pseudoliparis sp. Yap Trench
Notothenia coriiceps
Chaenocephalus aceratus
Cottoperca gobio
Perca fluviatilis
Hypoplectrus puella
Lateolabrax maculatus
Labrus bergylta
Symphodus melops
Maccullochella peelii
Micropterus floridanus
Oplegnathus fasciatus
Dicentrarchus labrax
Morone saxatilis
Morone chrysops
Miichthys miiuy
Larimichthys crocea
Nibea albiflora
Collichthys lucidus
Sparus aurata
Pagrus major
Spondyliosoma cantharus
Antennarius striatus
Tetraodon nigroviridis
Takifugu rubripes
Takifugu flavidus
Takifugu bimaculatus
Mola mola
